USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
dinnie      1527  0.0  0.1 309016  6480 ?        Ssl  Oct26   0:00 /usr/libexec/gvfs-mtp-volume-monitor
dinnie      1532  0.0  0.1 308716  6012 ?        Ssl  Oct26   0:00 /usr/libexec/gvfs-goa-volume-monitor
dinnie      1541  0.0  0.1 169864  6232 ?        Ssl  Oct26   0:00 /usr/libexec/gvfsd-metadata
dinnie      1545  0.0  0.1 535660  7968 ?        Sl   Oct26   0:00 /usr/libexec/gvfsd-trash --spawner :1.24 /org/gtk/gvfs/exec_spaw/0
dinnie      1753  0.0  1.1 654796 44064 ?        Sl   Oct26   0:08 /usr/bin/qterminal
dinnie      1756  0.0  0.3 644224 14768 ?        Ssl  Oct26   0:00 /usr/libexec/xdg-desktop-portal
dinnie      1765  0.0  0.1 548200  6280 ?        Ssl  Oct26   0:00 /usr/libexec/xdg-document-portal
root        1771  0.0  0.0   2300  1548 ?        Ss   Oct26   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
dinnie      1776  0.0  0.3 484664 12756 ?        Ssl  Oct26   0:00 /usr/libexec/xdg-desktop-portal-gtk
dinnie      1786  0.0  0.1  11964  6664 pts/0    Ss+  Oct26   0:07 /usr/bin/zsh
root        9282  0.0  0.6 1784800 27800 ?       Ssl  Oct26   0:20 /usr/bin/containerd
root        9294  0.0  1.4 2260792 56344 ?       Ssl  Oct26   0:19 /usr/sbin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock
dinnie     10396  2.7 25.2 4131848 1009880 ?     Sl   Oct26  31:41 /usr/lib/firefox-esr/firefox-esr
dinnie     10401  0.0  0.0  20260  2308 ?        Sl   Oct26   0:00 /usr/lib/firefox-esr/crashhelper 10396 9 /tmp/ 10 12
dinnie     10483  0.0  0.7 226864 29352 ?        Sl   Oct26   0:00 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20250922173505 -prefsHandle 0:26899 -prefMapHandle 1:267852 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {26a06778-d635-47d2-9771-02bb89e029e6} -parentPid 10396 -crashReporter 5 -crashHelper 6 -appDir /usr/lib/firefox-esr/browser 1 socket
dinnie     10501  0.0  1.9 2453300 79644 ?       Sl   Oct26   0:01 /usr/lib/firefox-esr/firefox-esr -contentproc -isForBrowser -prefsHandle 0:27745 -prefMapHandle 1:267852 -jsInitHandle 2:242716 -parentBuildID 20250922173505 -sandboxReporter 3 -chrootClient 4 -ipcHandle 5 -initialChannelId {9d85c8cb-1ef2-490d-9883-14967f959651} -parentPid 10396 -crashReporter 6 -crashHelper 7 -greomni /usr/lib/firefox-esr/omni.ja -appomni /usr/lib/firefox-esr/browser/omni.ja -appDir /usr/lib/firefox-esr/browser 2 tab
dinnie     10506  0.0  0.8 343076 32188 ?        Sl   Oct26   0:00 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20250922173505 -prefsHandle 0:27790 -prefMapHandle 1:267852 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {4a59ab42-6b9c-430c-a89a-5d7900da362d} -parentPid 10396 -crashReporter 5 -crashHelper 6 -appDir /usr/lib/firefox-esr/browser 3 rdd
dinnie     10587  0.0  0.7 224168 29824 ?        Sl   Oct26   0:00 /usr/lib/firefox-esr/firefox-esr -contentproc -parentBuildID 20250922173505 -sandboxingKind 0 -prefsHandle 0:39089 -prefMapHandle 1:267852 -sandboxReporter 2 -chrootClient 3 -ipcHandle 4 -initialChannelId {5a4bc0dc-0421-4b37-b2d4-ec464f65cb7e} -parentPid 10396 -crashReporter 5 -crashHelper 6 -appDir /usr/lib/firefox-esr/browser 5 utility
